Date,Daily Total Sales,Daily Total COGS,Daily Total Expenses,Deposit (Banking),HR Cash (Deposit)
2025-03-01,5218.03,1041.42,0,164.1,0
2025-03-02,4337.69,0,0,197.3,0
2025-03-03,4697.01,164,0,250.1,0
2025-03-04,5157.7,1577.16,183.77,186.8,11750
2025-03-05,4331.16,687.93,0,78.6,0
2025-03-06,4322.55,448.8,0,163.4,0
2025-03-07,4574.22,3651.51,0,193.7,0
2025-03-08,4420.91,1902.05,0,273.8,0
2025-03-09,4301.98,0,0,208.5,0
2025-03-10,4071.3,575.05,0,213.1,0
2025-03-11,5208.31,848.05,40,216.7,0
2025-03-12,4386.5,1258.19,102.87,271.1,0
2025-03-13,4312.42,2804.62,0,186.1,0
2025-03-14,4465.35,1299.55,0,174.4,0
2025-03-15,4584.59,373.3,0,137.1,0
2025-03-16,4116.91,0,0,352.8,0
2025-03-17,4492.13,546.96,0,240.5,0
2025-03-18,6460.46,472.9,57,229.5,0
2025-03-19,5006.91,1068.59,0,205,0
2025-03-20,3950.43,3585.75,0,54.7,0
2025-03-21,4051.56,360.53,0,275.1,0
2025-03-22,4718.22,1207.54,120,363.3,0
2025-03-23,4599.11,640.1,0,316.8,0
2025-03-24,5140.76,1451.8,0,337.2,0
2025-03-25,5607.27,161.51,0,359,0
2025-03-26,4251.83,516.57,0,243.8,0
2025-03-27,4076.66,3437.83,0,270.7,0
2025-03-28,4972.55,2298.02,0,219.1,0
2025-03-29,4875.92,1143.64,0,281.9,0
2025-03-30,3469.89,0,0,171.4,0
2025-03-31,4378.74,1233.69,0,231.5,0
2025-04-01,6161.51,1851.35,0,438.4,0
2025-04-02,4452.43,555.72,0,238.6,10450
2025-04-03,4738.9,4153.24,0,324.8,0
2025-04-04,4011.36,1717.3,0,131.4,0
2025-04-05,4849.95,1688.58,0,234.6,0
2025-04-06,4048.4,0,0,203.8,0
2025-04-07,3887.61,1268.78,340.08,126.5,0
2025-04-08,5836.88,595.59,0,344.8,0
2025-04-09,4210.12,4333.15,0,219.1,0
2025-04-10,4332.56,438.94,0,161.1,0
2025-04-11,4124.96,4620.2,0,221.9,0
2025-04-12,5604.97,1347,0,283.2,0
2025-04-13,5377.65,0,0,293.4,0
2025-04-14,6376.21,1221.52,0,288.6,0
2025-04-15,7915.42,2052.7,0,420.8,0
2025-04-16,6768.82,5642.12,0,452.6,0
2025-04-17,6889.78,1504.66,0,397.2,0
2025-04-18,7902.02,0,0,354.5,0
2025-04-19,8790.46,2423.51,0,474.3,0
